iso3,country_name,year,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded
BGD,Bangladesh,2009,5000,5000,426490,426000
BGD,Bangladesh,2010,3500,3500,426490,426000
BGD,Bangladesh,2011,600,600,426490,426000
BGD,Bangladesh,2012,5000,5000,426490,426000
BGD,Bangladesh,2013,0,,426490,426000
BGD,Bangladesh,2014,0,,426490,426000
BGD,Bangladesh,2015,0,,426438,426000
BGD,Bangladesh,2016,,,426070,426000
BGD,Bangladesh,2017,6000,6000,432070,432000
BGD,Bangladesh,2018,300,300,426070,426000
BGD,Bangladesh,2019,29,29,426070,426000
BGD,Bangladesh,2020,210,210,426280,426000
BGD,Bangladesh,2021,,,426070,426000
BGD,Bangladesh,2022,122,120,426070,426000
BGD,Bangladesh,2023,,,426070,426000
BGD,Bangladesh,2024,2755,2800,584836,585000
